"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Vianna",2012,56,"56_1","56_1_2","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.96,72.63,9.4,0.69,4.34,0.92,5.95,16.1,"%_fat",0,NA,14,26.69,3.288262763,"56_1"
"Solon-Biet",2014,93,"93_1","93_1_1","M","C57Bl6_mouse","B",60,57,"ad_lib",5,75,20,0.263,0.3965,0.3045,0.964,13,"%_fat",4,NA,8,30.695,3.770623291,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_2","M","C57Bl6_mouse","B",60,57,"ad_lib",5,48,48,0.263,0.3965,0.3045,0.964,17,"%_fat",4,NA,8,31.215,2.471003266,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_3","M","C57Bl6_mouse","B",60,57,"ad_lib",5,20,75,0.263,0.3965,0.3045,0.964,17,"%_fat",4,NA,4,29.7525,1.227229264,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_4","M","C57Bl6_mouse","B",60,57,"ad_lib",5,75,20,0.263,0.3965,0.3045,0.964,17,"%_fat",4,NA,6,31.065,2.598897843,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_5","M","C57Bl6_mouse","B",60,57,"ad_lib",14,57,29,0.7364,1.1102,0.8526,2.6992,8,"%_fat",4,NA,5,20.418,2.818930648,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_6","M","C57Bl6_mouse","B",60,57,"ad_lib",14,29,57,0.7364,1.1102,0.8526,2.6992,8,"%_fat",4,NA,5,19.424,3.414971449,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_7","M","C57Bl6_mouse","B",60,57,"ad_lib",14,57,29,0.7364,1.1102,0.8526,2.6992,13,"%_fat",4,NA,8,28.95875,5.400929649,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_8","M","C57Bl6_mouse","B",60,57,"ad_lib",14,29,57,0.7364,1.1102,0.8526,2.6992,13,"%_fat",4,NA,5,20.884,3.094071751,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_9","M","C57Bl6_mouse","B",60,57,"ad_lib",23,38,38,1.2098,1.8239,1.4007,4.4344,8,"%_fat",4,NA,5,19.092,5.716018719,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_10","M","C57Bl6_mouse","B",60,57,"ad_lib",14,57,29,0.7364,1.1102,0.8526,2.6992,17,"%_fat",4,NA,10,29.622,10.48300614,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_11","M","C57Bl6_mouse","B",60,57,"ad_lib",14,29,57,0.7364,1.1102,0.8526,2.6992,17,"%_fat",4,NA,8,35.49,12.65415121,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_12","M","C57Bl6_mouse","B",60,57,"ad_lib",33,20,47,1.7358,2.6169,2.0097,6.3624,8,"%_fat",4,NA,5,18.612,4.405600981,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_13","M","C57Bl6_mouse","B",60,57,"ad_lib",33,47,20,1.7358,2.6169,2.0097,6.3624,8,"%_fat",4,NA,5,23.204,3.615277306,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_14","M","C57Bl6_mouse","B",60,57,"ad_lib",23,38,38,1.2098,1.8239,1.4007,4.4344,13,"%_fat",4,NA,8,24.23875,5.646150237,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_15","M","C57Bl6_mouse","B",60,57,"ad_lib",42,29,29,2.2092,3.3306,2.5578,8.0976,8,"%_fat",4,NA,7,20.01142857,3.266218142,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_16","M","C57Bl6_mouse","B",60,57,"ad_lib",23,38,38,1.2098,1.8239,1.4007,4.4344,17,"%_fat",4,NA,6,38.515,11.01667237,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_17","M","C57Bl6_mouse","B",60,57,"ad_lib",33,20,47,1.7358,2.6169,2.0097,6.3624,13,"%_fat",4,NA,9,21.07666667,3.980273232,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_18","M","C57Bl6_mouse","B",60,57,"ad_lib",33,47,20,1.7358,2.6169,2.0097,6.3624,13,"%_fat",4,NA,9,31.41111111,5.510484199,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_19","M","C57Bl6_mouse","B",60,57,"ad_lib",60,20,20,3.156,4.758,3.654,11.568,8,"%_fat",4,NA,6,22.87166667,5.370077901,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_20","M","C57Bl6_mouse","B",60,57,"ad_lib",42,29,29,2.2092,3.3306,2.5578,8.0976,13,"%_fat",4,NA,8,22.2725,5.535892624,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_21","M","C57Bl6_mouse","B",60,57,"ad_lib",33,20,47,1.7358,2.6169,2.0097,6.3624,17,"%_fat",4,NA,9,31.79333333,8.914716765,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_22","M","C57Bl6_mouse","B",60,57,"ad_lib",33,47,20,1.7358,2.6169,2.0097,6.3624,17,"%_fat",4,NA,9,26.50666667,7.350804378,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_23","M","C57Bl6_mouse","B",60,57,"ad_lib",42,29,29,2.2092,3.3306,2.5578,8.0976,17,"%_fat",4,NA,7,35.04142857,9.091687465,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_24","M","C57Bl6_mouse","B",60,57,"ad_lib",60,20,20,3.156,4.758,3.654,11.568,13,"%_fat",4,NA,7,23.45857143,5.665193226,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_25","M","C57Bl6_mouse","B",60,57,"ad_lib",60,20,20,3.156,4.758,3.654,11.568,17,"%_fat",4,NA,7,24.82857143,6.866669325,"93_1"
"Solon-Biet",2019,94,"94_1","94_1_1","M","C57Bl6_mouse","B",624,621,"ad_lib",18,64,18,0.1728,0.3132,0.2268,0.7128,14.3,"%_fat",4,NA,9,18.94222222,9.080939899,"94_1"
"Solon-Biet",2019,94,"94_1","94_1_2","M","C57Bl6_mouse","B",624,621,"ad_lib",18,64,18,0.432,0.783,0.567,1.782,14.3,"%_fat",4,NA,15,35.02333333,7.695063971,"94_1"
"Solon-Biet",2019,94,"94_1","94_1_3","M","C57Bl6_mouse","B",624,621,"ad_lib",18,64,18,0.864,1.566,1.134,3.564,14.3,"%_fat",4,NA,19,32.66315789,9.775606291,"94_1"
"Solon-Biet",2019,94,"94_1","94_1_4","M","C57Bl6_mouse","B",624,621,"ad_lib",18,64,18,1.728,3.132,2.268,7.128,14.3,"%_fat",4,NA,15,44.84466667,7.260779048,"94_1"
"Cummings",2018,99,"99_1","99_1_1","M","C57Bl6_mouse","M",18,14,"ad_lib",15.2,42.7,42.1,0.787,1.187,0.911,2.885,18.828,"%_fat",0,NA,12,42.27094105,1.353335096,"99_1"
"Cummings",2018,99,"99_1","99_1_2","M","C57Bl6_mouse","M",18,14,"ad_lib",18.3,39.8,41.9,1.51,2.455,1.784,5.749,19.246,"%_fat",0,NA,12,43.62822124,0.585312998,"99_1"
"Cummings",2018,99,"99_2","99_2_1","M","C57Bl6_mouse","M",18,12,"ad_lib",20.2,39,40.9,0.215220107,0.700736332,0.23174291,1.147699349,19.246,"%_fat",0,NA,12,22.924,NA,"99_2"
"Cummings",2018,99,"99_2","99_2_2","M","C57Bl6_mouse","M",18,12,"ad_lib",21.4,37.8,40.8,1.319601843,4.297164975,1.421109677,7.037876495,19.246,"%_fat",0,NA,12,36.661,NA,"99_2"
