"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Solon-Biet",2014,93,"93_1","93_1_3","M","C57Bl6_mouse","B",60,57,"ad_lib",5,20,75,0.263,0.3965,0.3045,0.964,17,"HOMA",4,NA,4,0.3775,0.217466473,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_4","M","C57Bl6_mouse","B",60,57,"ad_lib",5,75,20,0.263,0.3965,0.3045,0.964,17,"HOMA",4,NA,5,0.5,0.162172747,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_5","M","C57Bl6_mouse","B",60,57,"ad_lib",14,57,29,0.7364,1.1102,0.8526,2.6992,8,"HOMA",4,NA,5,0.562,0.385836753,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_6","M","C57Bl6_mouse","B",60,57,"ad_lib",14,29,57,0.7364,1.1102,0.8526,2.6992,8,"HOMA",4,NA,5,0.706,0.378391332,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_7","M","C57Bl6_mouse","B",60,57,"ad_lib",14,57,29,0.7364,1.1102,0.8526,2.6992,13,"HOMA",4,NA,6,1.306666667,0.470007092,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_8","M","C57Bl6_mouse","B",60,57,"ad_lib",14,29,57,0.7364,1.1102,0.8526,2.6992,13,"HOMA",4,NA,4,0.93,0.350142828,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_9","M","C57Bl6_mouse","B",60,57,"ad_lib",23,38,38,1.2098,1.8239,1.4007,4.4344,8,"HOMA",4,NA,5,0.798,0.328816058,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_10","M","C57Bl6_mouse","B",60,57,"ad_lib",14,57,29,0.7364,1.1102,0.8526,2.6992,17,"HOMA",4,NA,8,1.3675,0.913669994,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_11","M","C57Bl6_mouse","B",60,57,"ad_lib",14,29,57,0.7364,1.1102,0.8526,2.6992,17,"HOMA",4,NA,6,1.746666667,1.237039477,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_12","M","C57Bl6_mouse","B",60,57,"ad_lib",33,20,47,1.7358,2.6169,2.0097,6.3624,8,"HOMA",4,NA,5,0.69,0.321636441,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_13","M","C57Bl6_mouse","B",60,57,"ad_lib",33,47,20,1.7358,2.6169,2.0097,6.3624,8,"HOMA",4,NA,4,0.93,0.314854464,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_14","M","C57Bl6_mouse","B",60,57,"ad_lib",23,38,38,1.2098,1.8239,1.4007,4.4344,13,"HOMA",4,NA,8,0.91125,0.418481524,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_15","M","C57Bl6_mouse","B",60,57,"ad_lib",42,29,29,2.2092,3.3306,2.5578,8.0976,8,"HOMA",4,NA,7,0.74,0.414246304,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_16","M","C57Bl6_mouse","B",60,57,"ad_lib",23,38,38,1.2098,1.8239,1.4007,4.4344,17,"HOMA",4,NA,6,2.22,1.28466338,"93_1"
