"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Colombo ",1992,19,"19_1","19_1_3","R","Wistar_rat","M",NA,2.142857,"ad_lib",37,50,13,1.85,3.77,0.83,6.45,14.9,"circ_leu",0,NA,7,176,26,"19_1"
"Colombo ",1992,19,"19_1","19_1_4","R","Wistar_rat","M",NA,2.142857,"ad_lib",58,29,13,2.91,5.9,1.3,10.11,14.9,"circ_leu",0,NA,7,236,56,"19_1"
"French",2017,24,"24_1","24_1_1","R","Zucker_Lean_rat","M",12,12,"ad_lib",21.6,65.4,13,1.01,1.82,1.33,4.16,15.9,"circ_leu",8,NA,8,112,15.87450787,"24_1"
"French",2017,24,"24_1","24_1_2","R","Zucker_Lean_rat","M",12,12,"ad_lib",42.6,44.3,13.1,2.01,3.65,2.67,8.33,15.9,"circ_leu",8,NA,10,135,15,"24_1"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,20,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"circ_leu",2,NA,10,117,9,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,20,"ad_lib",14.24,42.64,43.1,0.38,8.07,0.4,8.85,17.6,"circ_leu",2,NA,10,133,12,"25_1"
"Freudenberg",2012,25,"25_1","25_1_3","M","C57Bl6_mouse","M",10,20,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"circ_leu",2,NA,10,146,15,"25_1"
"Freudenberg",2013,26,"26_1","26_1_1","M","C57Bl6_mouse","M",10,1,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"circ_leu",2,NA,7,118,17.1464282,"26_1"
"Freudenberg",2013,26,"26_1","26_1_2","M","C57Bl6_mouse","M",10,1,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"circ_leu",2,NA,7,144,14.69693846,"26_1"
"Freudenberg",2013,26,"26_1","26_1_3","M","C57Bl6_mouse","M",10,1,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"circ_leu",2,NA,7,156,31.84336666,"26_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"circ_leu",12,NA,8,0.92,0.238117618,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"circ_leu",12,NA,8,0.98,0.76726788,"36_1"
"Lollo",2013,37,"37_1","37_1_1","R","Wistar_rat","M",NA,4,"ad_lib",19.42,72.58,8,1.02,1.72,1.21,3.95,14.9,"circ_leu",0,NA,6,0.11,0.12,"37_1"
"Lollo",2013,37,"37_1","37_1_2","R","Wistar_rat","M",NA,4,"ad_lib",24.56,67.44,8,1.02,6.86,1.21,9.09,14.9,"circ_leu",0,NA,6,0.389,0.25,"37_1"
"Lollo",2013,37,"37_1","37_1_3","R","Wistar_rat","M",NA,4,"ad_lib",26.32,65.7,8,1.02,8.62,1.21,10.85,14.9,"circ_leu",0,NA,6,0.587,0.46,"37_1"
"Lollo",2013,37,"37_1","37_1_4","R","Wistar_rat","M",NA,4,"ad_lib",22.85,69.15,8,5.15,1.21,7.38,13.74,14.9,"circ_leu",0,NA,6,0.235,0.18,"37_1"
"Lollo",2013,37,"37_2","37_2_1","R","Wistar_rat","M",NA,4,"ad_lib",19.3,72.7,8,1.32,1.92,1.1,4.34,14.9,"circ_leu",0,NA,6,0.117,0.1,"37_2"
"Lollo",2013,37,"37_2","37_2_2","R","Wistar_rat","M",NA,4,"ad_lib",22.7,69.3,8,1.32,5.32,1.1,7.74,14.9,"circ_leu",0,NA,6,0.289,0.17,"37_2"
"Lollo",2013,37,"37_2","37_2_3","R","Wistar_rat","M",NA,4,"ad_lib",24.42,67.58,8,1.32,7.04,1.1,9.46,14.9,"circ_leu",0,NA,6,0.429,0.15,"37_2"
"Lollo",2013,37,"37_2","37_2_4","R","Wistar_rat","M",NA,4,"ad_lib",26.12,65.88,8,1.32,8.72,1.1,11.14,14.9,"circ_leu",0,NA,6,0.505,0.42,"37_2"
"Lollo",2012,38,"38_1","38_1_1","R","Wistar_rat","M",NA,4,"ad_lib",19.42,72.58,8,1.02,1.72,1.21,3.95,14.9,"circ_leu",0,NA,6,0.108,0.024596748,"38_1"
"Lollo",2012,38,"38_1","38_1_2","R","Wistar_rat","M",NA,4,"ad_lib",24.56,67.44,8,1.02,6.86,1.21,9.09,14.9,"circ_leu",0,NA,6,0.449,0.017888544,"38_1"
"Lollo",2012,38,"38_1","38_1_3","R","Wistar_rat","M",NA,4,"ad_lib",26.32,65.7,8,1.02,8.62,1.21,10.85,14.9,"circ_leu",0,NA,6,0.618,0.035777088,"38_1"
"Lollo",2012,38,"38_1","38_1_4","R","Wistar_rat","M",NA,4,"ad_lib",22.85,69.15,8,5.15,1.21,7.38,13.74,14.9,"circ_leu",0,NA,6,0.27,0.035777088,"38_1"
"Lollo",2012,38,"38_2","38_2_1","R","Wistar_rat","M",NA,4,"ad_lib",19.3,72.7,8,1.32,1.92,1.1,4.34,14.9,"circ_leu",0,NA,6,0.15,0.035777088,"38_2"
"Lollo",2012,38,"38_2","38_2_2","R","Wistar_rat","M",NA,4,"ad_lib",22.7,69.3,8,1.32,5.32,1.1,7.74,14.9,"circ_leu",0,NA,6,0.343,0.029068884,"38_2"
"Lollo",2012,38,"38_2","38_2_3","R","Wistar_rat","M",NA,4,"ad_lib",24.42,67.58,8,1.32,7.04,1.1,9.46,14.9,"circ_leu",0,NA,6,0.454,0.038013156,"38_2"
