"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Batistela ",2014,8,"8_1","8_1_2","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",18,65.6,16.3,0.84,1.52,1.11,3.47,16.3,"circ_iso",0,NA,7,52.22,0.007247011,"8_1"
"Baum",2016,9,"9_1","9_1_1","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,21.82,0.95,1.73,1.26,3.94,16.8,"circ_iso",12,NA,10,89,21,"9_1"
"Baum",2016,9,"9_1","9_1_2","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,1.77,1.3,4.05,21.7,"circ_iso",12,NA,10,149,72,"9_1"
"Baum",2016,9,"9_1","9_1_3","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,21.82,0.95,4.965,1.26,7.175,16.8,"circ_iso",12,NA,10,73,6,"9_1"
"Baum",2016,9,"9_1","9_1_4","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,4.27,1.3,6.55,21.7,"circ_iso",12,NA,10,152,72,"9_1"
"Caraballo ",2014,16,"16_1","16_1_1","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,81,8,0.52,0.94,0.69,2.15,15.9,"circ_iso",0,NA,8,55.77,13.77113557,"16_1"
"Caraballo ",2014,16,"16_1","16_1_2","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,48,42,0.52,0.94,0.69,2.15,19.3,"circ_iso",0,NA,8,57.498,17.91438213,"16_1"
"Caraballo ",2014,16,"16_1","16_1_3","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,57,8,1.65,3,2.19,6.84,15.9,"circ_iso",0,NA,8,107.921,37.41356929,"16_1"
"Caraballo ",2014,16,"16_1","16_1_4","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,24,42,1.65,3,2.19,6.84,19.3,"circ_iso",0,NA,8,68.341,10.4930497,"16_1"
"Chee ",1981,17,"17_1","17_1_1","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",8.8,68.3,22.9,0.42,0.75,0.55,1.72,16.36,"circ_iso",0,NA,10,9,13.2,"17_1"
"Chee ",1981,17,"17_1","17_1_2","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",8.8,4.7,86.5,0.42,0.75,0.55,1.72,16.36,"circ_iso",0,NA,10,10,13.2,"17_1"
"Chee ",1981,17,"17_1","17_1_3","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",53,24,22.9,2.5,4.54,3.32,10.36,16.36,"circ_iso",0,NA,10,21,13.2,"17_1"
"Chee ",1981,17,"17_1","17_1_4","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",53,13.1,33.9,2.5,4.54,3.32,10.36,16.36,"circ_iso",0,NA,10,21,13.2,"17_1"
"Colombo ",1992,19,"19_1","19_1_1","R","Wistar_rat","M",NA,2.142857,"ad_lib",9,78,13,0.44,0.9,0.21,1.55,14.9,"circ_iso",0,NA,7,76,29,"19_1"
"Colombo ",1992,19,"19_1","19_1_2","R","Wistar_rat","M",NA,2.142857,"ad_lib",20,67,13,1,2.04,0.46,3.5,14.9,"circ_iso",0,NA,7,101,11,"19_1"
"Colombo ",1992,19,"19_1","19_1_3","R","Wistar_rat","M",NA,2.142857,"ad_lib",37,50,13,1.85,3.77,0.83,6.45,14.9,"circ_iso",0,NA,7,105,10,"19_1"
"Colombo ",1992,19,"19_1","19_1_4","R","Wistar_rat","M",NA,2.142857,"ad_lib",58,29,13,2.91,5.9,1.3,10.11,14.9,"circ_iso",0,NA,7,139,30,"19_1"
"French",2017,24,"24_1","24_1_1","R","Zucker_Lean_rat","M",12,12,"ad_lib",21.6,65.4,13,1.01,1.82,1.33,4.16,15.9,"circ_iso",8,NA,8,60,7.937253933,"24_1"
"French",2017,24,"24_1","24_1_2","R","Zucker_Lean_rat","M",12,12,"ad_lib",42.6,44.3,13.1,2.01,3.65,2.67,8.33,15.9,"circ_iso",8,NA,10,69,6,"24_1"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,20,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"circ_iso",2,NA,10,59.6,8.4,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,20,"ad_lib",14.24,42.64,43.1,0.38,8.07,0.4,8.85,17.6,"circ_iso",2,NA,10,64.8,9.3,"25_1"
"Freudenberg",2012,25,"25_1","25_1_3","M","C57Bl6_mouse","M",10,20,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"circ_iso",2,NA,10,80.1,10.2,"25_1"
"Freudenberg",2013,26,"26_1","26_1_1","M","C57Bl6_mouse","M",10,1,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"circ_iso",2,NA,7,63.1,9.063112048,"26_1"
"Freudenberg",2013,26,"26_1","26_1_2","M","C57Bl6_mouse","M",10,1,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"circ_iso",2,NA,7,72,10.28785692,"26_1"
"Freudenberg",2013,26,"26_1","26_1_3","M","C57Bl6_mouse","M",10,1,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"circ_iso",2,NA,7,87,17.88127512,"26_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"circ_iso",12,NA,8,0.97,0.238117618,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"circ_iso",12,NA,8,0.94,0.449777723,"36_1"
"Lollo",2013,37,"37_1","37_1_1","R","Wistar_rat","M",NA,4,"ad_lib",19.42,72.58,8,1.02,1.72,1.21,3.95,14.9,"circ_iso",0,NA,6,0.07,0.02,"37_1"
"Lollo",2013,37,"37_1","37_1_2","R","Wistar_rat","M",NA,4,"ad_lib",24.56,67.44,8,1.02,6.86,1.21,9.09,14.9,"circ_iso",0,NA,6,0.028,0.01,"37_1"
"Lollo",2013,37,"37_1","37_1_3","R","Wistar_rat","M",NA,4,"ad_lib",26.32,65.7,8,1.02,8.62,1.21,10.85,14.9,"circ_iso",0,NA,6,0.019,0.01,"37_1"
"Lollo",2013,37,"37_1","37_1_4","R","Wistar_rat","M",NA,4,"ad_lib",22.85,69.15,8,5.15,1.21,7.38,13.74,14.9,"circ_iso",0,NA,6,0.05,0.01,"37_1"
"Lollo",2013,37,"37_2","37_2_1","R","Wistar_rat","M",NA,4,"ad_lib",19.3,72.7,8,1.32,1.92,1.1,4.34,14.9,"circ_iso",0,NA,6,0.094,0.02,"37_2"
"Lollo",2013,37,"37_2","37_2_2","R","Wistar_rat","M",NA,4,"ad_lib",22.7,69.3,8,1.32,5.32,1.1,7.74,14.9,"circ_iso",0,NA,6,0.08,0.02,"37_2"
"Lollo",2013,37,"37_2","37_2_3","R","Wistar_rat","M",NA,4,"ad_lib",24.42,67.58,8,1.32,7.04,1.1,9.46,14.9,"circ_iso",0,NA,6,0.059,0.01,"37_2"
"Lollo",2013,37,"37_2","37_2_4","R","Wistar_rat","M",NA,4,"ad_lib",26.12,65.88,8,1.32,8.72,1.1,11.14,14.9,"circ_iso",0,NA,6,0.03,0.01,"37_2"
"Lollo",2012,38,"38_1","38_1_1","R","Wistar_rat","M",NA,4,"ad_lib",19.42,72.58,8,1.02,1.72,1.21,3.95,14.9,"circ_iso",0,NA,6,0.079,0.015652476,"38_1"
"Lollo",2012,38,"38_1","38_1_2","R","Wistar_rat","M",NA,4,"ad_lib",24.56,67.44,8,1.02,6.86,1.21,9.09,14.9,"circ_iso",0,NA,6,0.03,0.020124612,"38_1"
"Lollo",2012,38,"38_1","38_1_3","R","Wistar_rat","M",NA,4,"ad_lib",26.32,65.7,8,1.02,8.62,1.21,10.85,14.9,"circ_iso",0,NA,6,0.024,0.015652476,"38_1"
"Lollo",2012,38,"38_1","38_1_4","R","Wistar_rat","M",NA,4,"ad_lib",22.85,69.15,8,5.15,1.21,7.38,13.74,14.9,"circ_iso",0,NA,6,0.061,0.020124612,"38_1"
"Lollo",2012,38,"38_2","38_2_1","R","Wistar_rat","M",NA,4,"ad_lib",19.3,72.7,8,1.32,1.92,1.1,4.34,14.9,"circ_iso",0,NA,6,0.09,0.01118034,"38_2"
"Lollo",2012,38,"38_2","38_2_2","R","Wistar_rat","M",NA,4,"ad_lib",22.7,69.3,8,1.32,5.32,1.1,7.74,14.9,"circ_iso",0,NA,6,0.08,0.02236068,"38_2"
"Lollo",2012,38,"38_2","38_2_3","R","Wistar_rat","M",NA,4,"ad_lib",24.42,67.58,8,1.32,7.04,1.1,9.46,14.9,"circ_iso",0,NA,6,0.036,0.013416408,"38_2"
"Lollo",2012,38,"38_2","38_2_4","R","Wistar_rat","M",NA,4,"ad_lib",26.12,65.88,8,1.32,8.72,1.1,11.14,14.9,"circ_iso",0,NA,6,0.02,0.01118034,"38_2"
