"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Anderson ",1985,3,"3_3","3_3_2","M","B6C3F1_mouse","M",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"weight",0,NA,11,24.83,NA,"3_3"
"Anderson ",1985,3,"3_4","3_4_1","M","B6C3F1_mouse","F",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"weight",0,NA,11,21.19,NA,"3_4"
"Anderson ",1985,3,"3_4","3_4_2","M","B6C3F1_mouse","F",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"weight",0,NA,11,20,NA,"3_4"
"Anderson ",1990,4,"4_1","4_1_1","R","Holtzman_rat","M",NA,1,"ad_lib",14.9,73.9,11.1,0.71,1.28,0.94,2.93,17.1,"weight",0,NA,6,42.7,2.645751311,"4_1"
"Anderson ",1990,4,"4_1","4_1_2","R","Holtzman_rat","M",NA,1,"ad_lib",22.49,66.38,11.12,2.7,4.46,3.33,10.49,17.1,"weight",0,NA,6,30.1,2.645751311,"4_1"
"Ascencio ",1997,5,"5_1","5_1_1","R","Wistar_rat","M",NA,0.857143,"pair_fed",6.6,82.25,11.15,0.31,0.56,0.41,1.28,17.03,"weight",0,NA,10,178.16,15.927,"5_1"
"Ascencio ",1997,5,"5_1","5_1_2","R","Wistar_rat","M",NA,0.857143,"pair_fed",20,68.9,11.2,0.94,1.71,1.25,3.9,17.03,"weight",0,NA,10,186.945,20.703,"5_1"
"Bajotto ",2011,6,"6_1","6_1_1","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",18.31,65.77,15.92,0.86,1.57,1.15,3.58,16.3,"weight",0,NA,6,204.9894,NA,"6_1"
"Bajotto ",2011,6,"6_1","6_1_2","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",22.36,62.51,15.13,3.85,2,2.51,8.36,17.1,"weight",0,NA,6,220.9242,NA,"6_1"
"Bassil ",2007,7,"7_1","7_1_1","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",21.17,56.47,22.35,0.99,1.79,1.31,4.09,17,"weight",0,NA,8,372.2,19.1,"7_1"
"Bassil ",2007,7,"7_1","7_1_2","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",25.14,53.63,21.22,0.94,6.72,1.25,8.91,17.9,"weight",0,NA,8,375.2,11.1,"7_1"
"Batistela ",2014,8,"8_1","8_1_1","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",6.24,77.7,16,0.29,0.53,0.38,1.2,16.6,"weight",0,NA,7,148.2,9.467277856,"8_1"
"Batistela ",2014,8,"8_1","8_1_2","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",18,65.6,16.3,0.84,1.52,1.11,3.47,16.3,"weight",0,NA,7,186.4,7.654655446,"8_1"
"Baum",2016,9,"9_1","9_1_1","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,16.82,0.95,1.73,1.26,3.94,16.8,"weight",0,NA,30,408.1,18.84808,"9_1"
"Baum",2016,9,"9_1","9_1_2","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,1.77,1.3,4.05,21.7,"weight",0,NA,30,433.9,25.31027,"9_1"
"Baum",2016,9,"9_1","9_1_3","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,16.82,0.95,4.965,1.26,7.175,16.8,"weight",0,NA,30,408.8,21.00214,"9_1"
"Baum",2016,9,"9_1","9_1_4","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,4.27,1.3,6.55,21.7,"weight",0,NA,30,435.1,25.84879,"9_1"
